"","type","n","year","regio"
"1","mo90",15,1985,"west"
"2","mo6b1",12,1985,"west"
"3","mo79c",11,1985,"west"
"4","mo24",9,1985,"west"
"5","mo6",5,1985,"west"
"6","mo6gg",5,1985,"west"
"7","mo91brokes",5,1985,"west"
"8","mo16bb",4,1985,"west"
"9","mo6e",4,1985,"west"
"10","mo16b1",4,1985,"west"
"11","mo16c",3,1985,"west"
"12","mo16b",2,1985,"west"
"13","mo24-2",2,1985,"west"
"14","mo24a",2,1985,"west"
"15","mo6cc",2,1985,"west"
"16","mo6e1",2,1985,"west"
"17","mo90b",2,1985,"west"
"18","mo91",2,1985,"west"
"19","mo91slash",2,1985,"west"
"20","mo16a",1,1985,"west"
"21","mo1j1",1,1985,"west"
"22","mo1j3",1,1985,"west"
"23","mo24a0",1,1985,"west"
"24","mo24as",1,1985,"west"
"25","mo6ch",1,1985,"west"
"26","mo6f",1,1985,"west"
"27","mo79a",1,1985,"west"
"28","mo79bb",1,1985,"west"
"29","mo90b3",1,1985,"west"
"30","mo90c2",1,1985,"west"
"31","mo90d",1,1985,"west"
"32","mo91b5",1,1985,"west"
"33","mo91bs",1,1985,"west"
"34","mo92b1",1,1985,"west"
"35","mo92b2",1,1985,"west"
"36","mo93a1",1,1985,"west"
"37","mo93a1a",1,1985,"west"
"38","mo98-1a",1,1985,"west"
"39","mo6b1",42,2005,"west"
"40","mo90",32,2005,"west"
"41","mo24",30,2005,"west"
"42","mo16bb",20,2005,"west"
"43","mo79bb",19,2005,"west"
"44","mo6e",14,2005,"west"
"45","mo6gg",14,2005,"west"
"46","mo24a",13,2005,"west"
"47","mo79c",13,2005,"west"
"48","mo16b",12,2005,"west"
"49","mo79a",9,2005,"west"
"50","mo6",8,2005,"west"
"51","mo78",8,2005,"west"
"52","mo91",8,2005,"west"
"53","mo6a",7,2005,"west"
"54","mo92",7,2005,"west"
"55","mo78a",6,2005,"west"
"56","mo1",5,2005,"west"
"57","mo98-2",5,2005,"west"
"58","mo16a",4,2005,"west"
"59","mo78-1",4,2005,"west"
"60","mo79",4,2005,"west"
"61","mo79b",4,2005,"west"
"62","mo91bs",4,2005,"west"
"63","mo98a-1",4,2005,"west"
"64","mo16c",3,2005,"west"
"65","mo6g",3,2005,"west"
"66","mo78b",3,2005,"west"
"67","mo90-2chev",3,2005,"west"
"68","mo90b",3,2005,"west"
"69","mo16b1",2,2005,"west"
"70","mo24-2",2,2005,"west"
"71","mo6b",2,2005,"west"
"72","mo6d",2,2005,"west"
"73","mo86a",2,2005,"west"
"74","mo90a",2,2005,"west"
"75","mo91slash",2,2005,"west"
"76","mo98-1",2,2005,"west"
"77","mo1d",1,2005,"west"
"78","mo1f",1,2005,"west"
"79","mo1j",1,2005,"west"
"80","mo1m",1,2005,"west"
"81","mo24a1",1,2005,"west"
"82","mo6c",1,2005,"west"
"83","mo6c1",1,2005,"west"
"84","mo6e1",1,2005,"west"
"85","mo6f",1,2005,"west"
"86","mo6z",1,2005,"west"
"87","mo78aa",1,2005,"west"
"88","mo80",1,2005,"west"
"89","mo90bpart",1,2005,"west"
"90","mo90c",1,2005,"west"
"91","mo91a",1,2005,"west"
"92","mo91b1",1,2005,"west"
"93","mo91b2",1,2005,"west"
"94","mo91b4",1,2005,"west"
"95","mo91brokes",1,2005,"west"
"96","mo92a",1,2005,"west"
"97","mo98-0",1,2005,"west"
"98","mo98-1a",1,2005,"west"
"99","mo98-1a1",1,2005,"west"
"100","mo98c",1,2005,"west"
"101","mo6b1",46,2019,"west"
"102","mo90",36,2019,"west"
"103","mo6",34,2019,"west"
"104","mo6e",24,2019,"west"
"105","mo24",24,2019,"west"
"106","mo79c",20,2019,"west"
"107","mo6gg",18,2019,"west"
"108","mo91",16,2019,"west"
"109","mo91slash",13,2019,"west"
"110","mo79bb",13,2019,"west"
"111","mo24a",12,2019,"west"
"112","mo16bb",11,2019,"west"
"113","mo91b1s",10,2019,"west"
"114","mo79v",10,2019,"west"
"115","mo78-1",8,2019,"west"
"116","mo93aaamo6",6,2019,"west"
"117","mo91brokes",6,2019,"west"
"118","mo6a",5,2019,"west"
"119","mo16b",5,2019,"west"
"120","mo16b1",6,2019,"west"
"121","mo16c",5,2019,"west"
"122","mo24-2",5,2019,"west"
"123","mo24introa",5,2019,"west"
"124","mo98-1a1",4,2019,"west"
"125","mo92",4,2019,"west"
"126","mo91slashs",4,2019,"west"
"127","mo1",3,2019,"west"
"128","mo16bb4",3,2019,"west"
"129","mo98-2",3,2019,"west"
"130","mo91b2",3,2019,"west"
"131","mo91b4",3,2019,"west"
"132","mo91b5",3,2019,"west"
"133","mo90-2chev",3,2019,"west"
"134","mo1m",2,2019,"west"
"135","mo6cc",2,2019,"west"
"136","mo6e3",2,2019,"west"
"137","mo6f",2,2019,"west"
"138","mo6g",2,2019,"west"
"139","mo16b4",2,2019,"west"
"140","mo98a-1",2,2019,"west"
"141","mo90a",2,2019,"west"
"142","mo90b",2,2019,"west"
"143","mo79a",2,2019,"west"
"144","mo78",2,2019,"west"
"145","mo78a",2,2019,"west"
"146","mo1aaa",1,2019,"west"
"147","mo1side2",1,2019,"west"
"148","mo6cc3",1,2019,"west"
"149","mo6d",1,2019,"west"
"150","mo6gib",1,2019,"west"
"151","mo6rev2",1,2019,"west"
"152","mo6z",1,2019,"west"
"153","mo16a",1,2019,"west"
"154","mo16b1conn",1,2019,"west"
"155","mo16b3",1,2019,"west"
"156","mo24as",1,2019,"west"
"157","mo24slant",1,2019,"west"
"158","mo30-1",1,2019,"west"
"159","mo98-1",1,2019,"west"
"160","mo98-2aaa",1,2019,"west"
"161","mo98a-1_1",1,2019,"west"
"162","mo98a-1_2",1,2019,"west"
"163","mo93a1",1,2019,"west"
"164","mo91bs",1,2019,"west"
"165","mo91b5s",1,2019,"west"
"166","mo90b3",1,2019,"west"
"167","mo80",1,2019,"west"
"168","mo79asplit",1,2019,"west"
"169","mo78_3_2",1,2019,"west"
"170","mo78a0",1,2019,"west"
"171","mo78a02",1,2019,"west"
"172","mo98-2",42,1985,"east"
"173","mo1",40,1985,"east"
"174","mo98-1",40,1985,"east"
"175","mo98-2aaa",14,1985,"east"
"176","mo98a-1",13,1985,"east"
"177","mo1b",8,1985,"east"
"178","mo1i",7,1985,"east"
"179","mo1m3",7,1985,"east"
"180","mo1d",5,1985,"east"
"181","mo1jswan",5,1985,"east"
"182","mo98a-3m1",5,1985,"east"
"183","mo1j1",4,1985,"east"
"184","mo1c",3,1985,"east"
"185","mo1aa",2,1985,"east"
"186","mo1aaa",2,1985,"east"
"187","mo98-0",2,1985,"east"
"188","mo98a-2",2,1985,"east"
"189","mo98b1",2,1985,"east"
"190","mo93aaa1",2,1985,"east"
"191","mo1aaaswan",1,1985,"east"
"192","mo1f2",1,1985,"east"
"193","mo1h",1,1985,"east"
"194","mo1ii",1,1985,"east"
"195","mo1j",1,1985,"east"
"196","mo1jd",1,1985,"east"
"197","mo1jj",1,1985,"east"
"198","mo1j2",1,1985,"east"
"199","mo1m1",1,1985,"east"
"200","mo6",1,1985,"east"
"201","mo98a-3",1,1985,"east"
"202","mo98aa",1,1985,"east"
"203","mo98-iz",1,1985,"east"
"204","mo1",148,2005,"east"
"205","mo98-2",126,2005,"east"
"206","mo98-1",72,2005,"east"
"207","mo98-2aaa",57,2005,"east"
"208","mo98a-1",39,2005,"east"
"209","mo1i",28,2005,"east"
"210","mo1b",22,2005,"east"
"211","mo1d",16,2005,"east"
"212","mo1j",12,2005,"east"
"213","mo98a-2",10,2005,"east"
"214","mo1g",8,2005,"east"
"215","mo90",6,2005,"east"
"216","mo1jswan",5,2005,"east"
"217","mo1k",5,2005,"east"
"218","mo1m",5,2005,"east"
"219","mo98b1",5,2005,"east"
"220","mo1c",4,2005,"east"
"221","mo1dd",4,2005,"east"
"222","mo1aaa",3,2005,"east"
"223","mo1e",3,2005,"east"
"224","mo1h",3,2005,"east"
"225","mo24b",3,2005,"east"
"226","mo1aa",2,2005,"east"
"227","mo1aaaswan",2,2005,"east"
"228","mo1f",2,2005,"east"
"229","mo1ff",2,2005,"east"
"230","mo1gtent",2,2005,"east"
"231","mo1ii",2,2005,"east"
"232","mo1l",2,2005,"east"
"233","mo6",2,2005,"east"
"234","mo99",2,2005,"east"
"235","mo98-0",2,2005,"east"
"236","mo1a",1,2005,"east"
"237","mo1fff",1,2005,"east"
"238","mo1gg",1,2005,"east"
"239","mo1h31",1,2005,"east"
"240","mo1jc1",1,2005,"east"
"241","mo1ju3",1,2005,"east"
"242","mo1j1",1,2005,"east"
"243","mo1jswan1",1,2005,"east"
"244","mo1n",1,2005,"east"
"245","mo4",1,2005,"east"
"246","mo6a",1,2005,"east"
"247","mo16a",1,2005,"east"
"248","mo21",1,2005,"east"
"249","mo22",1,2005,"east"
"250","mo23",1,2005,"east"
"251","mo24",1,2005,"east"
"252","mo24b1",1,2005,"east"
"253","mo24notop",1,2005,"east"
"254","mo99a",1,2005,"east"
"255","mo98a-1_2",1,2005,"east"
"256","mo98b",1,2005,"east"
"257","mo98-98",1,2005,"east"
"258","mo95b",1,2005,"east"
"259","mo1",95,2019,"east"
"260","mo98-2",82,2019,"east"
"261","mo98-2aaa",62,2019,"east"
"262","mo98a-1",29,2019,"east"
"263","mo1b",24,2019,"east"
"264","mo1i",15,2019,"east"
"265","mo1d",14,2019,"east"
"266","mo1j1",12,2019,"east"
"267","mo1jswan",11,2019,"east"
"268","mo6b1",10,2019,"east"
"269","mo98-1",9,2019,"east"
"270","mo1aaa",8,2019,"east"
"271","mo1j",7,2019,"east"
"272","mo1c",6,2019,"east"
"273","mo98-0",6,2019,"east"
"274","mo90",5,2019,"east"
"275","mo1m",4,2019,"east"
"276","mo98a-2",4,2019,"east"
"277","mo1aa",3,2019,"east"
"278","mo1g",3,2019,"east"
"279","mo1side",3,2019,"east"
"280","mo6gg",3,2019,"east"
"281","mo24a",3,2019,"east"
"282","mo98a-2tents",3,2019,"east"
"283","mo98a-3",3,2019,"east"
"284","mo1aaaswan",2,2019,"east"
"285","mo1dd",2,2019,"east"
"286","mo1h",2,2019,"east"
"287","mo1ii",2,2019,"east"
"288","mo1jd",2,2019,"east"
"289","mo1j3_2a",2,2019,"east"
"290","mo1side1top",2,2019,"east"
"291","mo6cc3",2,2019,"east"
"292","mo16c",2,2019,"east"
"293","mo24",2,2019,"east"
"294","mo93aaaw",2,2019,"east"
"295","mo91",2,2019,"east"
"296","mo91b1s",2,2019,"east"
"297","mo1b5low",1,2019,"east"
"298","mo1g1",1,2019,"east"
"299","mo1gtent",1,2019,"east"
"300","mo1h1",1,2019,"east"
"301","mo1h31",1,2019,"east"
"302","mo1jj",1,2019,"east"
"303","mo1j2_3",1,2019,"east"
"304","mo1j3",1,2019,"east"
"305","mo1j3_2",1,2019,"east"
"306","mo1l",1,2019,"east"
"307","mo1m3",1,2019,"east"
"308","mo1o4",1,2019,"east"
"309","mo1side2",1,2019,"east"
"310","mo1side4",1,2019,"east"
"311","mo6c",1,2019,"east"
"312","mo24b",1,2019,"east"
"313","mo24intro",1,2019,"east"
"314","mo24intro2",1,2019,"east"
"315","mo99",1,2019,"east"
"316","mo99a",1,2019,"east"
"317","mo98-3tent",1,2019,"east"
"318","mo98a-3m1",1,2019,"east"
"319","mo98b2",1,2019,"east"
"320","mo93a1",1,2019,"east"
"321","mo93a1a",1,2019,"east"
"322","mo93aaaa",1,2019,"east"
"323","mo93aaamo6",1,2019,"east"
"324","mo98-2aaacut",1,2019,"east"
"325","mo92b",1,2019,"east"
"326","mo91b4",1,2019,"east"
"327","mo87a4",1,2019,"east"
"328","mo1pp",3,1985,"nova"
"329","mo1ppp12",3,1985,"nova"
"330","mo1p33",2,1985,"nova"
"331","mo1p34",1,1985,"nova"
"332","mo1pp4",1,1985,"nova"
"333","mo6cc",1,1985,"nova"
"334","mo6cc3",1,1985,"nova"
"335","mo6h1",1,1985,"nova"
"336","mo6h2",1,1985,"nova"
"337","mo6h3",1,1985,"nova"
"338","mo1pp",6,2005,"nova"
"339","mo1ppppp",3,2005,"nova"
"340","mo1p",2,2005,"nova"
"341","mo1pp2",2,2005,"nova"
"342","mo1ppp6",2,2005,"nova"
"343","mo1p1",1,2005,"nova"
"344","mo1p2",1,2005,"nova"
"345","mo1pp1",1,2005,"nova"
"346","mo1ppp",1,2005,"nova"
"347","mo1ppp1",1,2005,"nova"
"348","mo1ppp2",1,2005,"nova"
"349","mo1ppp3",1,2005,"nova"
"350","mo1ppp4",1,2005,"nova"
"351","mo1ppp7",1,2005,"nova"
"352","mo1pppp",1,2005,"nova"
"353","mo1pppppp",1,2005,"nova"
"354","mo6",1,2005,"nova"
"355","mo6cc",1,2005,"nova"
"356","mo1pp",11,2019,"nova"
"357","mo1ppp7",6,2019,"nova"
"358","mo6cc",4,2019,"nova"
"359","mo1p40",3,2019,"nova"
"360","mo1p41",2,2019,"nova"
"361","mo1pp3",2,2019,"nova"
"362","mo1ppp9",2,2019,"nova"
"363","mo6cc1",2,2019,"nova"
"364","mo6cc2",2,2019,"nova"
"365","mo1p40a",1,2019,"nova"
"366","mo1pp2",1,2019,"nova"
"367","mo1ppp",1,2019,"nova"
"368","mo1ppp8",2,2019,"nova"
"369","mo1ppp10",1,2019,"nova"
"370","mo1ppp11",1,2019,"nova"
"371","mo1ppppp",1,2019,"nova"
"372","mo1pppppp",1,2019,"nova"
"373","mo6",1,2019,"nova"
"374","mo6cc3",1,2019,"nova"
"375","mo6e",1,2019,"nova"
"376","mo18jj3",1,2019,"nova"
"377","mo18a",12,1985,"newf"
"378","mo18b2",7,1985,"newf"
"379","mo18hh",5,1985,"newf"
"380","mo18b",4,1985,"newf"
"381","mo18i_1",4,1985,"newf"
"382","mo18b1",3,1985,"newf"
"383","mo18d1",3,1985,"newf"
"384","mo18dd",3,1985,"newf"
"385","mo18h_l",3,1985,"newf"
"386","mo18i",3,1985,"newf"
"387","mo18",2,1985,"newf"
"388","mo18d1r1",2,1985,"newf"
"389","mo18l",2,1985,"newf"
"390","mo18c",1,1985,"newf"
"391","mo18d2_88",1,1985,"newf"
"392","mo18d3_88",1,1985,"newf"
"393","mo18d1r",1,1985,"newf"
"394","mo18d1r2",1,1985,"newf"
"395","mo18i_2",1,1985,"newf"
"396","mo18i1x1",1,1985,"newf"
"397","mo18j",1,1985,"newf"
"398","mo91b3",1,1985,"newf"
"399","mo87a",1,1985,"newf"
"400","mo18i_1",21,2005,"newf"
"401","mo18b",20,2005,"newf"
"402","mo18i",13,2005,"newf"
"403","mo18e",8,2005,"newf"
"404","mo18d",7,2005,"newf"
"405","mo18a",6,2005,"newf"
"406","mo18hh",6,2005,"newf"
"407","mo18ee",5,2005,"newf"
"408","mo18h",5,2005,"newf"
"409","mo18",3,2005,"newf"
"410","mo18c",3,2005,"newf"
"411","mo18dd",3,2005,"newf"
"412","mo18g",3,2005,"newf"
"413","mo18j",3,2005,"newf"
"414","mo18d1",2,2005,"newf"
"415","mo18g1",2,2005,"newf"
"416","mo1o",1,2005,"newf"
"417","mo18b1",1,2005,"newf"
"418","mo18f",1,2005,"newf"
"419","mo18h_l",1,2005,"newf"
"420","mo18ii",1,2005,"newf"
"421","mo18jj",1,2005,"newf"
"422","mo18jjj",1,2005,"newf"
"423","mo18k",1,2005,"newf"
"424","mo18l",1,2005,"newf"
"425","mo18m",1,2005,"newf"
"426","mo92b",1,2005,"newf"
"427","mo91b3",1,2005,"newf"
"428","mo18b1",18,2019,"newf"
"429","mo18b",17,2019,"newf"
"430","mo18i2x",10,2019,"newf"
"431","mo18ee",9,2019,"newf"
"432","mo18i",8,2019,"newf"
"433","mo18b2",7,2019,"newf"
"434","mo18hh",7,2019,"newf"
"435","mo18a",6,2019,"newf"
"436","mo18d3",5,2019,"newf"
"437","mo18d2",4,2019,"newf"
"438","mo18d1",3,2019,"newf"
"439","mo18k3",3,2019,"newf"
"440","mo6h1",2,2019,"newf"
"441","mo18",2,2019,"newf"
"442","mo18e1",2,2019,"newf"
"443","mo18h",2,2019,"newf"
"444","mo18jj1",2,2019,"newf"
"445","mo18jjj",2,2019,"newf"
"446","mo6cc",1,2019,"newf"
"447","mo18c",1,2019,"newf"
"448","mo18e",1,2019,"newf"
"449","mo18ee1",1,2019,"newf"
"450","mo18ee2",1,2019,"newf"
"451","mo18f",1,2019,"newf"
"452","mo18g",1,2019,"newf"
"453","mo18g1",1,2019,"newf"
"454","mo18h_l",1,2019,"newf"
"455","mo18hh1",1,2019,"newf"
"456","mo18i_1",1,2019,"newf"
"457","mo18i1x1",1,2019,"newf"
"458","mo18ii",1,2019,"newf"
"459","mo18j",1,2019,"newf"
"460","mo18jj2",1,2019,"newf"
"461","mo18jr2",1,2019,"newf"
"462","mo18k",1,2019,"newf"
"463","mo18k1",1,2019,"newf"
"464","mo18k4",1,2019,"newf"
"465","mo18m",1,2019,"newf"
"466","mo19",1,2019,"newf"
"467","mo91b1s",1,2019,"newf"
"468","mo91b3",2,2019,"newf"
"469","mo91b4",1,2019,"newf"
"470","mo88",1,2019,"newf"
